咪咕,#genre#
CCTV1综合,http://101.237.129.77/live/mg.php?id=b2t3g4h5
CCTV2财经,http://101.237.129.77/live/mg.php?id=c3v4b5n6
CCTV3综艺,http://101.237.129.77/live/mg.php?id=d4x5c6v7
CCTV4中文国际,http://101.237.129.77/live/mg.php?id=e5z6x7c8
CCTV5体育,http://101.237.129.77/live/mg.php?id=f6v7b8n9
CCTV5+体育赛事,http://101.237.129.77/live/mg.php?id=g7x8c9v0
CCTV6电影,http://101.237.129.77/live/mg.php?id=h8v9b0n1
CCTV7国防军事,http://101.237.129.77/live/mg.php?id=i9x0c1v2
CCTV8电视剧,http://101.237.129.77/live/mg.php?id=j0v1b2n3
CCTV9纪录,http://101.237.129.77/live/mg.php?id=k1x2c3v4
CCTV10科教,http://101.237.129.77/live/mg.php?id=l2v3b4n5
CCTV11戏曲,http://101.237.129.77/live/mg.php?id=m3x4c5v6
CCTV12社会与法,http://101.237.129.77/live/mg.php?id=n4v5b6n7
CCTV13新闻,http://101.237.129.77/live/mg.php?id=o5x6c7v8
CCTV14少儿,http://101.237.129.77/live/mg.php?id=p6v7b8n9
CCTV15音乐,http://101.237.129.77/live/mg.php?id=q7x8c9v0
CCTV17农业农村,http://101.237.129.77/live/mg.php?id=r8v9b0n1
CCTV4欧洲,http://101.237.129.77/live/mg.php?id=s9x0c1v2
CCTV4美洲,http://101.237.129.77/live/mg.php?id=t0v1b2n3
CGTN,http://101.237.129.77/live/mg.php?id=u1x2c3v4
CGTNDocumentary,http://101.237.129.77/live/mg.php?id=v2v3b4n5
CGTN阿拉伯语,http://101.237.129.77/live/mg.php?id=w3v4b5n6
CGTN西班牙语,http://101.237.129.77/live/mg.php?id=x4v5b6n7
CGTN法语,http://101.237.129.77/live/mg.php?id=y5v6b7n8
CGTN俄语,http://101.237.129.77/live/mg.php?id=z6v7b8n9
发现之旅,http://101.237.129.77/live/mg.php?id=aa7x8c9v0
中学生,http://101.237.129.77/live/mg.php?id=bb8v9b0n1
老故事,http://101.237.129.77/live/mg.php?id=cc9x0c1v2
东方卫视,http://101.237.129.77/live/mg.php?id=dd0v1b2n3
江苏卫视,http://101.237.129.77/live/mg.php?id=ee1x2c3v4
广东卫视,http://101.237.129.77/live/mg.php?id=ff2v3b4n5
江西卫视,http://101.237.129.77/live/mg.php?id=gg3v4b5n6
河南卫视,http://101.237.129.77/live/mg.php?id=hh4v5b6n7
陕西卫视,http://101.237.129.77/live/mg.php?id=ii5v6b7n8
海南卫视,http://101.237.129.77/live/mg.php?id=jj6v7b8n9
大湾区卫视,http://101.237.129.77/live/mg.php?id=kk7x8c9v0
湖北卫视,http://101.237.129.77/live/mg.php?id=ll8v9b0n1
青海卫视,http://101.237.129.77/live/mg.php?id=mm9x0c1v2
吉林卫视,http://101.237.129.77/live/mg.php?id=nn0v1b2n3
东南卫视,http://101.237.129.77/live/mg.php?id=79kdu30o2
海峡卫视,http://101.237.129.77/live/mg.php?id=87klf1s5v
上海新闻综合,http://101.237.129.77/live/mg.php?id=93hno2w7z
上视纪实人文,http://101.237.129.77/live/mg.php?id=95ijv4t8y
上海外语,http://101.237.129.77/live/mg.php?id=96gjk5u9q
七彩戏剧,http://101.237.129.77/live/mg.php?id=97lmn6b0p
南京新闻综合频道,http://101.237.129.77/live/mg.php?id=98opq7r1c
南京教科频道,http://101.237.129.77/live/mg.php?id=99asx2c3e
南京十八频道,http://101.237.129.77/live/mg.php?id=100bct3f4
江苏城市频道,http://101.237.129.77/live/mg.php?id=101dew4g5
江苏国际,http://101.237.129.77/live/mg.php?id=102fgh6h7
江苏教育,http://101.237.129.77/live/mg.php?id=103ijk7l8
江苏影视频道,http://101.237.129.77/live/mg.php?id=104mno8p9
江苏综艺频道,http://101.237.129.77/live/mg.php?id=105qrs9t0
连云港新闻综合,http://101.237.129.77/live/mg.php?id=106stu1v2
公共新闻频道,http://101.237.129.77/live/mg.php?id=107vwx2y3
淮安新闻综合,http://101.237.129.77/live/mg.php?id=108zab3c4
泰州新闻综合,http://101.237.129.77/live/mg.php?id=109qrs4d5
体育休闲频道,http://101.237.129.77/live/mg.php?id=110stu5f6
宿迁新闻综合,http://101.237.129.77/live/mg.php?id=111vwx6h7
徐州新闻综合,http://101.237.129.77/live/mg.php?id=112zab7g8
优漫卡通频道,http://101.237.129.77/live/mg.php?id=113qrs8k9
嘉佳卡通,http://101.237.129.77/live/mg.php?id=114stu9n0
经典动画大集合,http://101.237.129.77/live/mg.php?id=115vwx0m1
临洮电视台,http://101.237.129.77/live/mg.php?id=116zab1p2
NBA经典,http://101.237.129.77/live/mg.php?id=117qrs2c3
五大联赛经典,http://101.237.129.77/live/mg.php?id=118stu3d4
CBA经典,http://101.237.129.77/live/mg.php?id=119vwx4f5
UFC格斗精选,http://101.237.129.77/live/mg.php?id=120zab5h6
劲爆体育,http://101.237.129.77/live/mg.php?id=121qrs6g7
魅力足球,http://101.237.129.77/live/mg.php?id=122stu7k8
掼蛋精英赛,http://101.237.129.77/live/mg.php?id=123vwx8n9
全民乒乓,http://101.237.129.77/live/mg.php?id=124zab9o0
四海钓鱼,http://101.237.129.77/live/mg.php?id=125qrs0p1
游戏风云,http://101.237.129.77/live/mg.php?id=126stu1c2
红色轮播台,http://101.237.129.77/live/mg.php?id=127vwx2d3
欢笑剧场,http://101.237.129.77/live/mg.php?id=128zab3f4
军事迷必看大片,http://101.237.129.77/live/mg.php?id=129qrs4h5
周杰伦现场,http://101.237.129.77/live/mg.php?id=130stu5g6
龙胜龙脊梯田,http://101.237.129.77/live/mg.php?id=131vwx6k7
邕城,http://101.237.129.77/live/mg.php?id=132zab7n8
遇龙河,http://101.237.129.77/live/mg.php?id=133qrs8o9
钱塘江,http://101.237.129.77/live/mg.php?id=134stu9p0
开封鼓楼,http://101.237.129.77/live/mg.php?id=135vwx0c1


鹏博士,#genre#
CCTV1综合HD,http://beijinglive.online.domybox.com:91/live/CCTV1hd-8M/live.m3u8
CCTV2财经HD,http://beijinglive.online.domybox.com:91/live/CCTV2hd-8M/live.m3u8
CCTV3综艺HD,http://beijinglive.online.domybox.com:91/live/CCTV3hd-8M/live.m3u8
CCTV4中文国际HD,http://beijinglive.online.domybox.com:91/live/CCTV4hd-8M/live.m3u8
CCTV5体育HD,http://beijinglive.online.domybox.com:91/live/CCTV5hd-8M/live.m3u8
CCTV5+体育赛事HD,http://beijinglive.online.domybox.com:91/live/CCTV5+hd-8M/live.m3u8
CCTV6电影HD,http://beijinglive.online.domybox.com:91/live/CCTV6hd-8M/live.m3u8
CCTV7国防军事HD,http://beijinglive.online.domybox.com:91/live/CCTV7hd-8M/live.m3u8
CCTV8电视剧HD,http://beijinglive.online.domybox.com:91/live/CCTV8hd-8M/live.m3u8
CCTV9纪录HD,http://beijinglive.online.domybox.com:91/live/CCTV9hd-8M/live.m3u8
CCTV10科教HD,http://beijinglive.online.domybox.com:91/live/CCTV10hd-8M/live.m3u8
CCTV11戏曲HD,http://beijinglive.online.domybox.com:91/live/CCTV11hd-8M/live.m3u8
CCTV12社会与法HD,http://beijinglive.online.domybox.com:91/live/CCTV12hd-8M/live.m3u8
CCTV13新闻HD,http://beijinglive.online.domybox.com:91/live/CCTV13hd-8M/live.m3u8
CCTV14少儿HD,http://beijinglive.online.domybox.com:91/live/CCTV14hd-8M/live.m3u8
CCTV15音乐HD,http://beijinglive.online.domybox.com:91/live/CCTV15hd-8M/live.m3u8
CCTV16奥林匹克HD,http://beijinglive.online.domybox.com:91/live/CCTV16hd-8M/live.m3u8
CCTV17农业农村HD,http://beijinglive.online.domybox.com:91/live/CCTV17hd-8M/live.m3u8
CETV1中教1台HD,http://beijinglive.online.domybox.com:91/live/CETV1hd-8M/live.m3u8
CETV1中教2台,http://beijinglive.online.domybox.com:91/live/CETV2-1500k/live.m3u8
CETV1中教3台,http://beijinglive.online.domybox.com:91/live/CETV3-1500k/live.m3u8
CETV1中教4台,http://beijinglive.online.domybox.com:91/live/CETV4-1500k/live.m3u8
CGTV,http://beijinglive.online.domybox.com:91/live/CCTVNEWS-1500k/live.m3u8
北京卫视HD,http://beijinglive.online.domybox.com:91/live/BJWShd-8M/live.m3u8
东方卫视HD,http://beijinglive.online.domybox.com:91/live/DFWShd-8M/live.m3u8
