中央台,#genre#
CCTV-1,http://58.248.112.203:8006/GD_CUCC/G_CCTV-1-CQ.m3u8?Authinfo=UXJS6N%2BXsubrCs8jk7Z4oU%2BBjP6R21BSNC18ms9qOROlGfW2Jqjl1f2tlva%2BsrP1
CCTV-2,http://58.248.112.203:8006/GD_CUCC/G_CCTV-2-CQ.m3u8?Authinfo=UXJS6N%2BXsubrCs8jk7Z4oTlLdRPp2KMpo70fsy1QniClGfW2Jqjl1f2tlva%2BsrP1
CCTV-3,http://58.248.112.203:8006/GD_CUCC/G_CCTV-3-CQ.m3u8?Authinfo=UXJS6N%2BXsubrCs8jk7Z4oWfS5za2nA%2FcP%2FKPsrxLaiWlGfW2Jqjl1f2tlva%2BsrP1
CCTV-4,http://58.248.112.203:8006/GD_CUCC/G_CCTV-4-CQ.m3u8?Authinfo=UXJS6N%2BXsubrCs8jk7Z4oaGRAieYuYcqCRKrfw%2FvIREgANrUENdhC2OJjiEucmlz
CCTV-5,http://58.248.112.203:8006/GD_CUCC/G_CCTV-5-CQ.m3u8?Authinfo=UXJS6N%2BXsubrCs8jk7Z4ocFiXTl6PzAvroO9Bbm59vogANrUENdhC2OJjiEucmlz
CCTV-5+,http://58.248.112.203:8006/GD_CUCC/G_CCTV-5PLUS-CQ.m3u8?Authinfo=UXJS6N%2BXsubrCs8jk7Z4oYdR%2FXUke9cnQAha7YFSVSd4ZGoufDqtZaer8t8NrPDO
CCTV-6,http://58.248.112.203:8006/GD_CUCC/G_CCTV-6-CQ.m3u8?Authinfo=UXJS6N%2BXsubrCs8jk7Z4obE7%2BK6h%2F%2FF2JQRNzw%2FMDRggANrUENdhC2OJjiEucmlz
CCTV-7,http://58.248.112.203:8006/GD_CUCC/G_CCTV-7-CQ.m3u8?Authinfo=UXJS6N%2BXsubrCs8jk7Z4oW3erG2lWnyswCdj3SlW9GcgANrUENdhC2OJjiEucmlz
CCTV-8,http://58.248.112.203:8006/GD_CUCC/G_CCTV-8-CQ.m3u8?Authinfo=UXJS6N%2BXsubrCs8jk7Z4oaWwt4vHPeBqpAJsd6v3%2BdogANrUENdhC2OJjiEucmlz
CCTV-9,http://58.248.112.203:8006/GD_CUCC/G_CCTV-9-CQ.m3u8?Authinfo=UXJS6N%2BXsubrCs8jk7Z4ofOjhoviwdXQm%2F69XJnpbJYgANrUENdhC2OJjiEucmlz
CCTV-10,http://58.248.112.203:8006/GD_CUCC/G_CCTV-10-CQ.m3u8?Authinfo=UXJS6N%2BXsubrCs8jk7Z4oUsd9mij0JyOcibqYTdmWtJMJrR4MWxCKwpEzMdh0xeV
CCTV-11,http://58.248.112.203:8006/GD_CUCC/G_CCTV-11-CQ.m3u8?Authinfo=UXJS6N%2BXsubrCs8jk7Z4oQtjk7PDi4fkN2nvO2gK27uZ8Ijb4DTY%2FSSlS1h2tyF8
CCTV-12,http://58.248.112.203:8006/GD_CUCC/G_CCTV-12-CQ.m3u8?Authinfo=UXJS6N%2BXsubrCs8jk7Z4oRtFGgShYCQQqFHAFhzmleqZ8Ijb4DTY%2FSSlS1h2tyF8
CCTV-13,http://58.248.112.203:8006/GD_CUCC/G_CCTV-13-CQ.m3u8?Authinfo=UXJS6N%2BXsubrCs8jk7Z4oeUi4Thb7vkXG9wotcNmK%2FSZ8Ijb4DTY%2FSSlS1h2tyF8
CCTV-14,http://58.248.112.203:8006/GD_CUCC/G_CCTV-14-CQ.m3u8?Authinfo=UXJS6N%2BXsubrCs8jk7Z4oc44kHEGXWPeTdip0KbSgbeZ8Ijb4DTY%2FSSlS1h2tyF8
CCTV-15,http://58.248.112.203:8006/GD_CUCC/G_CCTV-15-CQ.m3u8?Authinfo=UXJS6N%2BXsubrCs8jk7Z4oYyPYgkCWBSIT3aCcBdsAjuZ8Ijb4DTY%2FSSlS1h2tyF8
CCTV-16,http://58.248.112.203:8006/GD_CUCC/G_CCTV-16-CQ.m3u8?Authinfo=UXJS6N%2BXsubrCs8jk7Z4oVSIaGkZ%2BPhCYgvTlbbof9eZ8Ijb4DTY%2FSSlS1h2tyF8
CCTV-17,http://58.248.112.203:8006/GD_CUCC/G_CCTV-17-CQ.m3u8?Authinfo=UXJS6N%2BXsubrCs8jk7Z4oflsNSUvoRXJq9Dxabd45umZ8Ijb4DTY%2FSSlS1h2tyF8
CETV1HD,http://58.248.112.203:8006/GD_CUCC/G_CETV-1-HQ.m3u8?Authinfo=UXJS6N%2BXsubrCs8jk7Z4oWwt3AsGzHgp7MfWJf%2FsLcIWFfj4rZq8amJahfGw%2BkQj
CETV2,http://58.248.112.203:8006/GD_CUCC/G_CETV-2.m3u8?Authinfo=UXJS6N%2BXsubrCs8jk7Z4oZDXflOhU%2Bok4xQEKR8I33HRs70RE75alO3MHiHivmAY
